         8397681 function calls (8397448 primitive calls) in 36.090 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\logging\__init__.py:1272(getLogger)
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:96(_safe_zlib_decompress)
       16    0.000    0.000    0.000    0.000 C:\Python38\lib\random.py:285(choice)
        5    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:96(closegroup)
        2    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:555(_new)
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\random.py:94(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 C:\Python38\lib\enum.py:833(__and__)
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\ntpath.py:450(normpath)
       31    0.000    0.000    0.000    0.000 C:\Python38\lib\signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:290(getmodebase)
       22    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\random.py:123(seed)
      105    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\GimpPaletteFile.py:17(<module>)
       17    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_compile.py:249(_compile_charset)
        8    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:810(load)
        5    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:156(crc)
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageMode.py:33(getmode)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\enum.py:124(__prepare__)
        3    0.000    0.000    0.000    0.000 C:\Python38\lib\functools.py:34(update_wrapper)
       70    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:249(match)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       30    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\TiffImagePlugin.py:635(_register_basic)
       31    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\_binary.py:74(i32be)
        6    0.000    0.000    0.000    0.000 C:\Python38\lib\enum.py:478(_get_mixins_)
       63    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:160(__len__)
       16    0.000    0.000    0.000    0.000 C:\Python38\lib\random.py:250(_randbelow_with_getrandbits)
       40    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Python38\lib\os.py:766(getenv)
        1    0.000    0.000    0.000    0.000 C:\Python38\lib\fractions.py:60(Fraction)
        1    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PaletteFile.py:16(<module>)
       69    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      132    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       13    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageColor.py:20(<module>)
      132    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        7    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3038(register_open)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\enum.py:510(_find_new_)
        6    0.000    0.000    0.000    0.000 C:\Python38\lib\os.py:670(__getitem__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       20    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\ntpath.py:77(join)
       15    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3087(register_extension)
       40    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:286(tell)
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\ntpath.py:203(splitext)
        3    0.000    0.000    0.000    0.000 C:\Python38\lib\_collections_abc.py:657(get)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001F639D34310}
        4    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3098(register_extensions)
        5    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\TiffImagePlugin.py:618(decorator)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:84(opengroup)
       38    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:172(append)
        5    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_decoder}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\BmpImagePlugin.py:56(BmpImageFile)
        6    0.000    0.000    0.000    0.000 C:\Python38\lib\ntpath.py:124(splitdrive)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       16    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageSequence.py:19(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       20    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_compile.py:411(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:224(__init__)
       31    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:111(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_encoder}
        4    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:530(__init__)
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\TiffImagePlugin.py:288(IFDRational)
       23    0.000    0.000    0.000    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\_virtualenv.py:54(find_spec)
